County,Death Rate,Unemployment,Poverty,Median Income,Home Price,no high school
Alameda,2.63,4.3,10.7,79831,593500,13.6
Alpine,0,6.5,18.6,62375,329500,9.6
Amador,15.61,6,11.3,57032,265900,11.9
Butte,7.07,6.6,19.5,44366,228500,12.3
Calaveras,9.97,5.7,13.1,53502,259000,7.2
Colusa,6.8,15.6,11.1,54946,205000,30.6
Contra Costa,4.19,4.5,8.7,82881,472900,11.2
Del Norte,7.67,7.5,23.7,42363,183600,20.9
El Dorado,4.83,5.1,8.7,72586,379200,6.8
Fresno,6.54,9.5,25.5,45963,204900,26.9
Glenn,3.39,8.3,16.7,41699,215800,27.7
Humboldt,22.35,4.9,20,42685,279000,9.6
Imperial,5.78,23.6,23.6,42560,159000,35.5
Inyo,22.91,5.3,12.3,42278,325500,11.9
Kern,5.7,10.4,22.4,49788,175600,27.6
Kings,3.98,10,17.4,47241,172000,29
Lake,11.52,6.7,20.7,36132,167300,14.6
Lassen,17.79,6.9,17.6,51457,174500,20.6
Los Angeles,2.97,5.3,16.3,57952,465000,23.4
Madera,6.02,9.2,20.4,45742,204800,31.5
Marin,5.87,3.3,7.8,100310,859400,7.6
Mariposa,0,6.9,17.9,49265,250800,12.3
Mendocino,17.34,5.3,19,43510,319110,14.8
Merced,9.82,10.6,20.3,44397,171800,33.3
Modoc,0,7.8,18.4,41194,144600,15.2
Mono,6.89,5.4,11.3,58937,286100,16.2
Monterey,2.22,7.7,12.9,60889,393300,29
Napa,1.64,4.3,7.9,74609,503100,16.9
Nevada,9.85,4.8,10.9,57429,355900,5.7
Orange,8.08,4,11.1,78145,584200,16.2
Placer,3.75,4.5,7.2,76926,380900,6.4
Plumas,0,9.7,12.6,50125,221300,10.1
Riverside,4.33,6.1,15.3,57972,276300,20.4
Sacramento,3.19,5.4,16.3,57509,271300,14.1
San Benito,2.22,6.8,10.5,73814,423100,23.1
San Bernardino,1.58,5.8,17.6,54469,256000,21.8
San Diego,6.7,4.7,12.7,55322,184700,14.5
San Francisco,9.03,3.3,10.2,87701,858800,13.7
San Joaquin,6.8,8.1,14.6,55045,246900,22.7
San Luis Obispo,6.39,4.3,11,64014,471800,10.4
San Mateo,2.37,3,6.6,98546,845300,11.4
Santa Barbara,6.94,5.1,13.9,65161,480000,20.9
Santa Clara,3.15,3.8,9.3,101173,752400,13.5
Santa Cruz,11.95,7,13.4,70088,615200,15.1
Shasta,8.29,7,17.2,45582,223500,11.6
Sierra,0,7.6,14.4,43984,170300,10.6
Siskiyou,16.05,8.5,18.8,38524,173100,11
Solano,3.01,5.5,11.4,69227,305900,12.8
Sonoma,4.36,4,9.4,66833,464700,13.3
Stanislaus,2.56,8.6,14.5,51591,216000,23.6
Sutter,3.42,9.8,14.3,63783,409300,21.7
Tehama,3.3,7.1,20.9,40687,178600,18.9
Trinity,13.4,7.1,21.3,35270,270100,8.7
Tulare,2.62,11.2,24.7,42789,169600,32
Tuolumne,11.34,6.2,15.4,50731,259800,10.9
Ventura,4.71,5.2,9.8,78593,481400,17.2
Yolo,4.29,5.9,19,57663,346200,15.7
Yuba,8.08,8.6,16.6,48739,190700,21
